CombinedSpineCont... started logging at time 02242018_124628 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
24.9672,0.04943,-66.9677,2.75,-6.34082,-65.0582,2.75,8.63796,1.07088,2.74999,-8.05541,0.116617,2.87867,7.01386,
24.9773,0.0498853,-66.9684,2.75,-6.33972,-65.058,2.75001,8.63894,1.07029,2.74999,-8.05674,0.118648,2.88503,7.01263,
24.9874,0.0503198,-66.9691,2.75002,-6.33866,-65.0578,2.75,8.63989,1.06973,2.74999,-8.05809,0.120884,2.89168,7.0114,
24.9975,0.0507868,-66.9698,2.74999,-6.33775,-65.0577,2.75,8.64069,1.06918,2.75,-8.05947,0.123103,2.89856,7.01013,
25.0076,0.0512686,-66.9706,2.75001,-6.33691,-65.0576,2.75,8.64142,1.06863,2.75,-8.06085,0.125323,2.90568,7.00885,
25.0177,0.05181,-66.9714,2.75,-6.336,-65.0575,2.75001,8.64221,1.06807,2.75,-8.06226,0.127547,2.91301,7.00754,
25.0278,0.0524081,-66.9723,2.75001,-6.33513,-65.0574,2.75,8.64296,1.06752,2.74999,-8.06367,0.129704,2.92057,7.00621,
25.0379,0.0530669,-66.9733,2.75,-6.3342,-65.0573,2.75001,8.64374,1.06693,2.74999,-8.06512,0.131892,2.92834,7.00484,
25.048,0.0537856,-66.9743,2.75,-6.33323,-65.0571,2.74998,8.64456,1.06634,2.74999,-8.06658,0.134306,2.93639,7.00347,
25.0581,0.0545547,-66.9754,2.75,-6.33222,-65.0569,2.75001,8.64542,1.06574,2.75,-8.06809,0.136867,2.94471,7.00206,
25.0682,0.0553467,-66.9764,2.75002,-6.33134,-65.0567,2.74999,8.64614,1.06512,2.75,-8.06958,0.139576,2.95334,7.00065,
25.0783,0.0561717,-66.9776,2.75,-6.33024,-65.0565,2.75,8.64706,1.06447,2.75,-8.07113,0.142475,2.96226,6.9992,
25.0884,0.0569807,-66.9787,2.75001,-6.32932,-65.0563,2.75,8.64781,1.06382,2.74999,-8.07267,0.145381,2.9715,6.99774,
25.0985,0.0577991,-66.9802,2.75002,-6.32812,-65.056,2.75001,8.64878,1.06316,2.74999,-8.07427,0.148188,2.98104,6.99622,
